timestamp,cpu_usage,cpu_freq,ram_usage,temp
1777808914.5374155,0.0,1500.0,13.6,50.15
1777808915.538136,0.0,1500.0,13.6,49.6
1777808916.5388331,0.0,1500.0,13.6,47.95
1777808917.5395265,0.0,1500.0,13.6,48.5
1777808918.5402806,0.0,1500.0,13.6,50.7
1777808919.5410554,0.0,1500.0,13.6,48.5
1777808920.541863,0.5,1600.0,13.6,48.5
1777808921.5426793,0.5,1500.0,13.6,49.05
1777808922.5435224,0.3,1500.0,13.7,49.6
1777808923.544348,0.3,1500.0,13.7,49.6
1777808924.5451667,0.5,1500.0,13.7,49.6
1777808925.5459788,0.0,1500.0,13.7,49.05
1777808926.546766,0.3,1500.0,13.7,50.15
1777808927.5475366,0.2,1500.0,13.7,48.5
1777808928.5483048,0.0,1500.0,13.6,48.5
1777808929.5490866,0.2,1500.0,13.6,49.05
1777808930.5498514,0.0,1500.0,13.6,47.95
1777808931.5506253,0.0,1500.0,13.6,49.6
1777808932.5513778,0.0,1500.0,13.7,49.6
1777808933.552193,0.0,1500.0,13.7,49.6
1777808934.5529819,0.3,1500.0,13.7,48.5
1777808935.553739,0.0,1500.0,13.7,48.5
1777808936.5545287,0.0,1500.0,13.7,49.05
1777808937.5553706,0.0,1500.0,13.7,49.6
1777808938.556146,0.3,1500.0,13.7,49.05
1777808939.5569015,0.0,1500.0,13.7,47.4
1777808940.557639,0.0,1500.0,13.7,49.05
1777808941.5583563,0.0,1500.0,13.7,48.5
1777808942.5592108,0.0,1500.0,13.7,49.05
1777808943.5599675,0.0,1500.0,13.7,47.95
1777808944.5606825,0.0,1500.0,13.6,47.95
1777808945.561423,0.0,1500.0,13.6,48.5
1777808946.5621376,0.0,1500.0,13.6,47.95
1777808947.5641735,0.0,1500.0,13.6,48.5
1777808948.5648966,0.0,1500.0,13.6,47.95
1777808949.5655925,0.0,1500.0,13.6,49.05
1777808950.5662868,0.0,1500.0,13.6,47.95
1777808951.5670362,0.0,1500.0,13.6,49.05
1777808952.5677774,0.0,1500.0,13.6,48.5
1777808953.5684998,0.0,1500.0,13.6,47.95
1777808954.5692616,0.0,1500.0,13.6,48.5
1777808955.5699866,0.0,1500.0,13.6,47.4
1777808956.570685,0.0,1500.0,13.6,47.4
1777808957.5713813,0.0,1500.0,13.6,47.95
1777808958.5720987,0.0,1500.0,13.6,46.85
1777808959.5728178,0.2,1500.0,13.6,47.4
1777808960.5735803,0.0,1500.0,13.6,47.4
1777808961.5742965,0.0,1500.0,13.6,49.05
1777808962.5749953,0.0,1500.0,13.6,49.05
1777808963.5756814,0.0,1500.0,13.6,46.85
1777808964.5773332,0.0,1500.0,13.6,49.05
1777808965.5780468,0.0,1500.0,13.6,49.05
1777808966.5788496,0.0,1500.0,13.6,47.4
1777808967.5795958,0.0,1500.0,13.6,47.4
1777808968.5803025,0.0,1500.0,13.6,48.5
1777808969.5810142,0.0,1500.0,13.6,47.95
1777808970.5817277,0.0,1500.0,13.6,47.4
1777808971.5824268,0.0,1500.0,13.6,47.95
1777808972.5831988,0.0,1500.0,13.6,47.4
1777808973.5839188,0.0,1500.0,13.6,47.4
1777808974.5846395,0.0,1500.0,13.6,48.5
1777808975.5867412,0.0,1500.0,13.6,47.4
1777808976.5874736,0.0,1500.0,13.6,47.4
1777808977.588193,0.0,1500.0,13.6,47.4
1777808978.5889554,0.0,1500.0,13.6,47.4
1777808979.589675,0.0,1500.0,13.6,47.4
1777808980.5904,0.0,1500.0,13.6,48.5
1777808981.5911245,0.0,1500.0,13.6,46.85
1777808982.5918224,0.0,1500.0,13.6,46.85
1777808983.5925205,0.0,1500.0,13.6,47.4
1777808984.5932598,0.0,1500.0,13.6,47.4
1777808985.5939732,0.0,1500.0,13.6,47.95
1777808986.595658,0.0,1500.0,13.6,46.85
1777808987.5963738,0.0,1500.0,13.6,48.5
1777808988.5970798,0.0,1500.0,13.6,46.85
1777808989.597767,0.0,1500.0,13.6,48.5
1777808990.5984948,0.0,1500.0,13.6,48.5
1777808991.5992415,0.0,1500.0,13.6,47.95
1777808992.5999513,0.0,1500.0,13.6,48.5
1777808993.600657,0.0,1500.0,13.6,46.85
1777808994.601372,0.0,1500.0,13.6,48.5
1777808995.602072,0.0,1500.0,13.6,46.85
1777808996.6027973,11.0,2400.0,13.9,47.95
1777808997.6053617,50.0,2400.0,13.9,51.8
1777808998.605918,50.0,2400.0,14.0,52.9
1777808999.6064396,50.1,2400.0,13.9,52.9
1777809000.6069558,50.0,2400.0,13.9,52.9
1777809001.6074622,50.0,2400.0,13.9,53.45
1777809002.6080716,50.0,2400.0,13.8,54.0
1777809003.6085966,50.0,2400.0,13.8,55.65
1777809004.609128,50.0,2400.0,13.8,54.55
1777809005.6096258,50.0,2400.0,13.8,55.1
1777809006.6101305,50.1,2400.0,13.8,56.75
1777809007.6106358,50.0,2400.0,13.8,55.65
1777809008.6112053,49.9,2400.0,13.7,55.1
1777809009.6117327,50.2,2400.0,13.7,56.75
1777809010.6122506,50.0,2400.0,13.7,56.2
1777809011.6127574,50.1,2400.0,13.7,56.75
1777809012.613257,50.0,2400.0,13.7,56.75
1777809013.613751,50.0,2400.0,13.7,57.3
